average_edge_duration_factor,max_speed_and_length_factor,result
0.2,0.2,2.262253745672225
0.4,0.2,2.0831901852805
0.6000000000000001,0.2,2.2590311396600025
0.8,0.2,2.160885669758152
1.0,0.2,2.0601084568204473
1.2,0.2,2.1179471620955166
1.4,0.2,2.264425866642152
1.5999999999999999,0.2,2.2154318944737326
1.7999999999999998,0.2,2.460972657893445
0.2,0.4,2.1903708090404566
0.4,0.4,2.4665115863181786
0.6000000000000001,0.4,2.0744226734737494
0.8,0.4,2.062314712181667
1.0,0.4,2.033143896602618
1.2,0.4,2.1067409204802345
1.4,0.4,2.1114012925432135
1.5999999999999999,0.4,2.243722639422425
1.7999999999999998,0.4,2.2821238729892572
0.2,0.6000000000000001,2.348141510102537
0.4,0.6000000000000001,2.3635208354732327
0.6000000000000001,0.6000000000000001,2.3320127274593383
0.8,0.6000000000000001,2.0853900625211743
1.0,0.6000000000000001,2.211347454711922
1.2,0.6000000000000001,2.1738636116747503
1.4,0.6000000000000001,2.1448885590098015
1.5999999999999999,0.6000000000000001,1.9720646517281246
1.7999999999999998,0.6000000000000001,2.1007610962106282
0.2,0.8,3.2439152436310157
0.4,0.8,2.274149974118058
0.6000000000000001,0.8,2.6835602114296626
0.8,0.8,2.2358173162548356
1.0,0.8,2.3310822298745277
1.2,0.8,2.132691355133787
1.4,0.8,2.093129857720977
1.5999999999999999,0.8,2.046921650536798
1.7999999999999998,0.8,2.0311859705999975
0.2,1.0,2.6608136447612516
0.4,1.0,2.732171285610967
0.6000000000000001,1.0,2.2061612174107315
0.8,1.0,7.967905233076752
1.0,1.0,2.8820067027188347
1.2,1.0,2.563393252778221
1.4,1.0,2.1011705564677277
1.5999999999999999,1.0,2.0108460197615328
1.7999999999999998,1.0,3.130106211136489
0.2,1.2,2.7101698539729435
0.4,1.2,3.5955365409532543
0.6000000000000001,1.2,2.3394340524850668
0.8,1.2,2.4749634337748585
1.0,1.2,2.1211135620971855
1.2,1.2,2.463048700920223
1.4,1.2,2.2396435926878566
1.5999999999999999,1.2,2.166372914598155
1.7999999999999998,1.2,2.2520147478836363
0.2,1.4,3.092178045671995
0.4,1.4,2.683390614139098
0.6000000000000001,1.4,2.329099583777478
0.8,1.4,2.3132517296483086
1.0,1.4,2.17930693408578
1.2,1.4,2.4342328104239446
1.4,1.4,2.3372437250826916
1.5999999999999999,1.4,2.3730913064159282
1.7999999999999998,1.4,2.255426611527832
0.2,1.5999999999999999,3.116041098618966
0.4,1.5999999999999999,3.0170860683377185
0.6000000000000001,1.5999999999999999,2.498126371673898
0.8,1.5999999999999999,2.344646570141928
1.0,1.5999999999999999,2.468534089866711
1.2,1.5999999999999999,2.477920412209193
1.4,1.5999999999999999,2.150893820388156
1.5999999999999999,1.5999999999999999,2.0632946821170934
1.7999999999999998,1.5999999999999999,2.065281866993462
0.2,1.7999999999999998,3.5039871267724356
0.4,1.7999999999999998,2.974668322497738
0.6000000000000001,1.7999999999999998,2.484239404641909
0.8,1.7999999999999998,2.540856614962117
1.0,1.7999999999999998,2.428972200161657
1.2,1.7999999999999998,2.2036322786123272
1.4,1.7999999999999998,2.344407555132605
1.5999999999999999,1.7999999999999998,2.1907779207097557
1.7999999999999998,1.7999999999999998,2.3478038361505664
